Course Name,Folder on Disk,Course URL,Field ,Name of the University/Institute,Introduction
Words Spun Out of Images: Visual and Literary Culture in Nineteenth Century Japan,visual-literary-culture-in-japan,https://coursera.org/learn/visual-literary-culture-in-japan,Arts and Humanities,The University of Tokyo,"In their ambition to capture “real life,” Japanese painters, poets, novelists and photographers of the nineteenth century collaborated in ways seldom explored by their European contemporaries. This course offers learners the chance to encounter and appreciate behavior, moral standards and some of the material conditions surrounding Japanese artists in the nineteenth century, in order to renew our assumptions about what artistic “realism” is and what it meant.

Learners will walk away with a clear understanding of how society and the individual were conceived of and represented in early modern Japan. Unlike contemporary western art forms, which acknowledge their common debt as “sister arts” but remain divided by genre and discourse, Japanese visual and literary culture tended to combine, producing literary texts inspired by visual images, and visual images which would then be inscribed with poems and prose. Noticing and being able to interpret this indivisibility of visual/literary cultures is essential in understanding the social and psychological values embedded within the beauty of Japanese art."
Accounting Analysis II: Measurement and Disclosure of Liabilities,accounting-analysis-2-liabilities,https://coursera.org/learn/accounting-analysis-2-liabilities,Business,University of Illinois at Urbana-Champaign,"This course is the third course in the five-course Financial Reporting Specialization. This course begins with a discussion of current liabilities and contingencies and continues with long-term debt and bonds.  The course next explores accounting model for leases, both lessees and lessors, and a discussion on deferred tax assets and liabilities. Participants will learn the latest accounting standards including the new accounting model for leases effective for public companies in 2019 and private companies in 2020."
Accounting for Decision Making,accounting,https://coursera.org/learn/accounting,Business,University of Michigan,"Through this course, you will start by addressing the two “big questions” of accounting: “What do I have?” and “How did I do over time?” You will see how the two key financial statements – the balance sheet and the income statement - are designed to answer these questions and then move on to consider how individual transactions aggregate to make up these financial statements. After developing a broad understanding of accounting and financial statements, you will begin to develop a more nuanced understanding of individual components of doing business, such as making a sale or building inventory.  By considering many of the more common actions of a company, you will build your understanding of accounting, and explore these concepts by applying them across various types of transactions. Once you understand these individual concepts better, you will be ready to return to the overall financial statements and use them as informational tools, including building ratios.

You can do this course standalone or to qualify for the residential component of the Finance for Strategic Decision-Making Executive Education program.  For more information, see the FAQ below."
Budgeting essentials and development,budgeting-essentials-development,https://coursera.org/learn/budgeting-essentials-development,Business,Fundação Instituto de Administração,"The Budgeting Essentials and Development course focus on an integrative and practical view of concepts, methods, and techniques to develop a budget.

After finishing this course, learners will be able to:
- Develop the budget with a broad view of the corporate functions;
- Integrate the strategic guidelines into the discussions of budgeting process;
- Structure the budget planning and development in a logical sequence
- Coordinate the project of budget planning with the different areas of the company
- Actively promote assumptions discussions to improve the process of developing the budget
- Apply financial concepts to support the budget planning process
- Design a budget monitoring and control model to support the performance management
- Evaluate the performance of the company by managing the results and the budget

In this course, learners will have a deeper understanding of the budgeting process, its challenges, common issues, and approaches to mitigate the problems and improve the learning curve of budget planning.
It is integrative by emphasizing the transition between the corporate strategy and the budget. It is practical by following a structured process of going through a framework that illustrates and demonstrates how to analyze, develop and control the budget."
Business Strategies for Social Impact,wharton-social-impact,https://coursera.org/learn/wharton-social-impact,Business,University of Pennsylvania,"When is it good business practice to invest for social good? What are the most innovative and effective business strategies for developing positive social impact around the world? Designed by renowned Wharton professors Katherine Klein and Chris Geczy to help individuals, organizations, and investors bring about societal change, this course introduces the fundamentals of impact investing, and developing a business strategy that drives social impact. You’ll learn how to become a leader who cultivates purpose and inspires change, measure societal impact through evidence-based models, and invest in ventures effectively and meaningfully. By the end of this course, you’ll have a deep understanding of the realities of leading an organization with purpose, and be able to build successful strategies that bring impactful change to the world."
Capstone: Creating A Sustainability Proposal,sustainability-proposal,https://coursera.org/learn/sustainability-proposal,Business,University of Colorado System,"Congratulations on reaching the Capstone Class of the Become a Sustainable Business Change Agent specialization.  The class will help you apply material from the previous three classes.  We have developed a case about a hypothetical ski resort that offers lots of opportunities to develop sustainability recommendations.  A second option is do develop a proposal for a change in your company or organization.  Or you can do both the case and your own proposal.  

The goal of the class is to have you practice the entire process from identifying a problem, finding a possible solution, doing analysis to determine the proposed change&#39;s financial and sustainability impacts, figure out who to present the proposal and what they need to see to say &#39;Yes&#39; and develop a budget and implementation plan.

It is big assignment, but if you have gone through the material in the first three classes you should be well-equipped for the challenge.

We hope that the concepts and tools we have introduced will start you on your way to making positive changes in your company, organization, community and the world.  We have provided just the most basic tolls.  As you progress you will enhance your skills and become more effective.  Best of luck on all you change endeavors."
China Strategy,china-strategy,https://coursera.org/learn/china-strategy,Business,The Chinese University of Hong Kong,"This course is designed to help you, as a strategist of a foreign company, better understand how to develop your China strategy. Specifically, after studying China’s changing strategic landscape, you will focus on mastering three strategic issues: who – the major players in China, how – the entry modes, and where – the location strategy for your China business. This course is aimed to deliver updated knowledge and real experiences of developing China strategy."
Corporate Strategy ,corporatestrategy,https://coursera.org/learn/corporatestrategy,Business,"University of London, UCL School of Management","Corporate strategy is the strategy a firm uses to compete across multiple businesses. Many small firms want to grow by entering new businesses. Many large firms already are in multiple businesses, e.g. a photo camera producer selling also sunglasses. 

We developed this course to help you make good corporate strategy decisions. Of the many decisions a firm has to make, corporate strategy decisions are among the most consequential. We will look at these key corporate strategy decisions:
- Diversification: How and which businesses should your firm enter?
- Divestiture: How and from which businesses should your firm exit?
- Corporate HQ: How should we organize corporate headquarters to create value across the different businesses?"
Crowdfunding,wharton-crowdfunding,https://coursera.org/learn/wharton-crowdfunding,Business,University of Pennsylvania,"Crowdfunding, the practice of raising small amounts of money from large numbers of people, has enabled people around the world to start new businesses, fund initiatives, and raise money for themselves and others. Yet, not all crowdfunding efforts reach their desired goal. Why do some succeed, while others fail? This course will reveal the science behind successful crowdfunding, drawing on data from hundreds of thousands of campaigns. You’ll learn different types of crowdfunding approaches, and receive detailed advice on what to do (and what not to do) when crowdfunding. You’ll also have the unique opportunity to go behind-the-scenes with key players in the field with exclusive interviews from the founder of Indiegogo to successful campaign creators, to get the information you need to set your crowdfunding initiative up for success."
Deep Learning for Business,deep-learning-business,https://coursera.org/learn/deep-learning-business,Business,Yonsei University,"Your smartphone, smartwatch, and automobile (if it is a newer model) have AI (Artificial Intelligence) inside serving you every day. In the near future, more advanced “self-learning” capable DL (Deep Learning) and ML (Machine Learning) technology will be used in almost every aspect of your business and industry. So now is the right time to learn what DL and ML is and how to use it in advantage of your company. This course has three parts, where the first part focuses on DL and ML technology based future business strategy including details on new state-of-the-art products/services and open source DL software, which are the future enablers. The second part focuses on the core technologies of DL and ML systems, which include NN (Neural Network), CNN (Convolutional NN), and RNN (Recurrent NN) systems. The third part focuses on four TensorFlow Playground projects, where experience on designing DL NNs can be gained using an easy and fun yet very powerful application called the TensorFlow Playground. This course was designed to help you build business strategies and enable you to conduct technical planning on new DL and ML services and products."
Digital Competition in Financial Services,digital-competition-financial-services,https://coursera.org/learn/digital-competition-financial-services,Business,Copenhagen Business School,"Welcome to Digital Transformation Strategy! As you probably know, this is the first course in a three part specialization focused on the digital transformation of finance. We&#39;ll aim to bring you insights about how digitalization intersects with finance, culled from one of the world&#39;s top regions for digital innovation. I&#39;m excited to have you in the class and look forward to helping you learn more about this important topic.

To begin, I recommend taking a few minutes to explore the course site. A good place to start is the navigation bar on the left. Click Course Content to see what material we’ll cover each week, as well preview the assignments you’ll need to complete to pass the course. Click Discussions to see forums where you can discuss the course material with fellow students taking the class. Be sure to introduce yourself to everyone in the Meet and Greet forum!

This course should take about four weeks to complete. You can check out the recommended course schedule below to see a quick overview of the lessons and assignments you’ll complete each week.

By the time you finish this course, you’ll have mastered the transformational forces of digitalization and the new competitive dynamics it gives rise to, learned from leading financial companies and seen inspirational examples from the digital masters. You&#39;ll be introduced to the Capstone Project for the specialization and have a chance to form some preliminary solutions for a financial company seeking a new strategy for the digital age of finance.

Good luck as you get started. I look forward to seeing you in class!"
Digital Transformation of Financial Services - Capstone Project,digital-transformation-financial-services-project,https://coursera.org/learn/digital-transformation-financial-services-project,Business,Copenhagen Business School,"In this capstone project course, we ask YOU to apply everything you have learned in this specialization to analyze a real world company and to develop a digital transformation strategy for this company. 

You will have the possibility to choose between four different case companies, that varies in size (from small start-up to large financial service providers), industry (banking, financial trading, insurance) and geographical location. 

For one of these -- only one -- you will create a concise recommendation of a strategy to leverage the digital transformation of financial services. To do this well, you will need to summon ideas appropriately from the earlier three courses in the specialization."
Doing Business in China Capstone,doing-business-in-china-capstone,https://coursera.org/learn/doing-business-in-china-capstone,Business,The Chinese University of Hong Kong,"Doing Business in China Capstone enables you to apply your skills to real business challenges. You’ll use your newly earned business skills to identify, explore and evaluate a real opportunity involving products.

In this capstone, you are the business consultant working for a well-established “HON / wellness” company.  The CEO has given you a task.  You have to bring a new overseas product into China."
Doing Business in Europe,doing-business-in-europe,https://coursera.org/learn/doing-business-in-europe,Business,ESCP Europe,"Welcome to the MOOC “Doing Business in Europe”!

Europe is a major world trade partner as well as a place where to acquire significant business experience. This is the reason why this MOOC has been designed with the view to explaining and guiding you in doing business in Europe. Do you really know Europe? How should you consider and approach the European continent? What business lessons can be drawn in a European perspective?

With a dozen contributions from academics in the various domains of management (marketing, supply chain, finance, human resources management or strategy) and as many testimonials from business leaders operating in Europe, this course will help you enrich your knowledge and business competences within the European context. 

The MOOC is divided into 5 topics corresponding to 5 major issues when doing business in Europe:

1. Approaching the European market(s)
2. Innovating in Europe
3. Investing in Europe
4. Building the value chain
5. Integrating the diversity

There are no prerequisite for this course. At the end of the coursework, participants will be able to understand how to design a European-scale development strategy.

Please enroll and thank you in advance for choosing this course!"
Effective Sales – An Overview,effective-sales-overview,https://coursera.org/learn/effective-sales-overview,Business,Fundação Instituto de Administração,"Welcome to Strategic Sales Management specialization.
This specialization course focus on providing conceptual and practical guidance on sales planning and management.
The development of the specialization goes through the different phases of the sales planning process, keeping attention on the connection to the strategy of the company.
Concepts discussed in this specialization aim to support the analyses on how to plan sales in alignment with the strategic guidelines of the company. The sales functions are discussed with models and frameworks that support the planning process, which includes assumptions regarding the strategic guidelines, such as aggregate revenue targets, company’s earnings, and expected cash flow from the company’s operations. These variables are all related to the strategy of the company.
The target audience of this specialization include professionals with some experience in sales, they might have been promoted to a managing position recently, or they have plans to improve their expertise in the sales area to apply to more challenging positions in the future.
Prerequisite for this specialization is general knowledge of business concepts, models, and tools. Professionals who have concluded undergraduate courses of business administration, and also of different areas of knowledge, such as engineering, economics, accounting, and social sciences.
It’s also important to emphasize that sales involve a broad range of areas, there are products and services related to agriculture, petrochemical, automobile, aeronautics, chemical, pharmaceutical, medical, insurance, education, retail, and consulting industries, just to mention some examples. That means sales professionals are from all sectors.
Therefore, learners of different academic backgrounds may benefit from doing this specialization, which is structured to support sales planning and management from a methodological standpoint. And this approach applies to a diverse range of sectors.
The primary learning outcome of this specialization is the improvement of the sales planning and management competencies and skills, by providing a set of concepts, models, tools, and techniques to support the development of the sales plan structure, which will support the sale plan development."
Entrepreneurship,entrepreneurship,https://coursera.org/learn/entrepreneurship,Business,The Chinese University of Hong Kong,"An entrepreneur is someone who is always on the lookout for problems that can be turned into opportunities and finds creative ways to leverage limited resources to reach their goals. In this course, learners will be introduced to the fundamental concepts, theories, and frameworks of entrepreneurship and learn how to apply them within the context of the world&#39;s largest market: China. Through cases, articles, and experiential learning, learners will gain expertise in how to identify and evaluate opportunities; interpret, analyze, and build financial models to enable high-growth ventures; practice living life as an entrepreneurial leader; and create a new product or service for the Chinese market."
Entrepreneurship II: Practices and Approaches,entrepreneurship-2,https://coursera.org/learn/entrepreneurship-2,Business,University of Illinois at Urbana-Champaign,"This course builds on previous concepts and outlines strategies and tactics for forming, financing and launching a new venture.  Topics to be addressed will include building the new venture’s initial management team, identifying and reaching out to early customers, developing financial plans, raising startup and initial growth financing, and preparing for and managing rapid growth. 

Course objectives:
Entrepreneurial Team Building:  Develop an understanding of the what is required in a new venture
Initial Go-to-Market Strategy:  Develop a plan to identify and approach your first customers
Financial Forecasting:  Building financial projections for the new venture
Entrepreneurial Financing:  Raising Equity Capital for the new venture
Growing the Business:  Monitoring the new venture’s health and scalability"
Entrepreneurship Strategy: From Ideation to Exit,entrepreneurship-strategy,https://coursera.org/learn/entrepreneurship-strategy,Business,HEC Paris,"This course covers in the chronological order each defining step of an entrepreneurial project. It begins with very personal considerations related to getting to better know yourself better so as to decide if you are ready for the multiple challenges of entrepreneurship. It then deals with creativity in order to provide the right set of tools to find an idea with the right potential to disrupt an existing business. We then discuss how to gather a founding team, how to raise money to initiate the project, and how to deal with day to day cash management. Later in the course, we discuss the art of selling, focusing on business to business sales, and how to measure the product launch phase using cohort analysis. Later on, we discuss the challenges of HR in an entrepreneurial environment, and of recruiting at a point where nobody knows your company. We then describe very practical techniques to initiate the international development of a small company. Last, we cover the exit strategy topic."
Ethical Leadership Through Giving Voice to Values,uva-darden-giving-voice-to-values,https://coursera.org/learn/uva-darden-giving-voice-to-values,Business,University of Virginia,"This course offers an action-oriented introduction to Giving Voice to Values (or GVV), an exciting new approach to values-driven leadership development in the workplace, in business education and in life. 

GVV is not about persuading people to be more ethical, but instead it starts from the premise that most of us already want to act on our values, but that we also want to feel that we have a reasonable chance of doing so effectively. Through positive, real life examples, pre-scripting, rehearsal and peer coaching, GVV builds the skill, the confidence and likelihood that we will act on our values more often and more successfully. Based on research and practice, with over 1,000 pilots in educational settings and companies on all seven continents, GVV helps answer the questions: “What if I were going to act on my values? What would I say and do? How could I be most effective?”

You will come away from this course with an expanded toolkit, as well as practice, in a variety of methods and techniques for voicing and enacting your own values and principle. You will develop and practice leadership skills in &#34;peer coaching” with other Learners. Through cases and stories based on recognizable workplace, classroom and life values conflicts, you will apply the GVV techniques and “re-frames”, expanding your repertoire for possible action as well as identifying and rehearsing responses that are likely to be most effective. Through this practice, you will gain greater confidence and competence in voicing and enacting your values effectively."
